CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
14967901000161;POSTO NELCI MARIA LOCATELLI E CIA LTDA;AVENIDA TAMANDARE,1572;;VILA ALTO SUMARE;CAMPO GRANDE;MS;Gasolina C Comum;4,09;28/06/2018 16:02
14967901000161;POSTO NELCI MARIA LOCATELLI E CIA LTDA;AVENIDA TAMANDARE,1572;;VILA ALTO SUMARE;CAMPO GRANDE;MS;Etanol;3,197;28/06/2018 16:02
14967901000161;POSTO NELCI MARIA LOCATELLI E CIA LTDA;AVENIDA TAMANDARE,1572;;VILA ALTO SUMARE;CAMPO GRANDE;MS;Diesel S10;3,497;28/06/2018 16:02
15011160000103;POSTO XINGU;AVENIDA SANTANA,75;;SANTANA;VARGINHA;MG;Gasolina C Comum;4,848;08/10/2018 13:48
15011160000103;POSTO XINGU;AVENIDA SANTANA,75;;SANTANA;VARGINHA;MG;Etanol;2,948;08/10/2018 13:48
15011160000103;POSTO XINGU;AVENIDA SANTANA,75;;SANTANA;VARGINHA;MG;Diesel S500;3,656;08/10/2018 13:48
15011160000103;POSTO XINGU;AVENIDA SANTANA,75;;SANTANA;VARGINHA;MG;Diesel S10;3,789;08/10/2018 13:48
15203666000114;AUTO POSTO DINALO E IBRAHIM LTDA;AVENIDA LUCAS NOGUEIRA GARCEZ,370;;JARDIM ESTELA;POA;SP;Gasolina C Comum;4,499;16/08/2018 10:49
15203666000114;AUTO POSTO DINALO E IBRAHIM LTDA;AVENIDA LUCAS NOGUEIRA GARCEZ,370;;JARDIM ESTELA;POA;SP;Etanol;2,599;16/08/2018 10:49
15203666000114;AUTO POSTO DINALO E IBRAHIM LTDA;AVENIDA LUCAS NOGUEIRA GARCEZ,370;;JARDIM ESTELA;POA;SP;Diesel S10;3,499;16/08/2018 10:49
15286573000109;POSTO SANTIAGO;RUA HELENO DE ANDRADE,1154;;SETOR 3;BURITIS;RO;Gasolina C Comum;4,96;04/09/2018 12:03
15286573000109;POSTO SANTIAGO;RUA HELENO DE ANDRADE,1154;;SETOR 3;BURITIS;RO;Diesel S500;3,888;04/09/2018 12:05
15286573000109;POSTO SANTIAGO;RUA HELENO DE ANDRADE,1154;;SETOR 3;BURITIS;RO;Diesel S10;3,966;04/09/2018 12:05
